code,title,href,info,credits,level,state,last_examination_semester
2D1043,Examensarbete inom datalogi fÃ¶r kandidatexamen,https://www.kth.se/student/kurser/kurs/2D1043,<p>Ett relativt stort sj&#228;lvst&#228;ndigt arbete inom datalogi av utredande karakt&#228;r.</p>,"15,0",GrundnivÃ¥,CANCELLED,20201
DD150X,"Examensarbete inom teknik och management, grundnivÃ¥",https://www.kth.se/student/kurser/kurs/DD150X,<p>Ett sj&#228;lvst&#228;ndigt arbete inom teknik och management av utredande karakt&#228;r.<br />Examensarbetet &#228;r obligatoriskt f&#246;r den som vill ta ut kandidatexamen.</p>,"15,0",GrundnivÃ¥,CANCELLED,20201
DD151X,"Examensarbete i teknik: Datateknik, kommunikation och industriell ekonomi, grundnivÃ¥",https://www.kth.se/student/kurser/kurs/DD151X,"<p>Ett relativt stort sj&#228;lvst&#228;ndigt arbete inom datalogi av utredande karakt&#228;r.</p><p>Kursen &#228;r avsedd f&#246;r studenter p&#229; civilingenj&#246;rsprogrammet i industriell ekonomi, med inriktning datateknik och kommunikation.</p>","15,0",GrundnivÃ¥,ESTABLISHED,
DD3001,"Forskning: teori, metod, praktik",https://www.kth.se/student/kurser/kurs/DD3001,"<p>En forskare vid ett universitet eller i industrin beh&#246;ver, ut&#246;ver sin specialiserade kompetens som utvecklas under avhandlingsarbetet, &#228;ven f&#246;rm&#229;ga att analysera och v&#228;rdera forskning inom ett bredare omr&#229;de, kunskap om och f&#246;rm&#229;ga att till&#228;mpa procedurer och regler f&#246;r sitt arbete som etiska riktlinjer och f&#246;rh&#229;llningsregler, och s&#228;tt att motivera och finansiera sin forskning i en forskarkarri&#228;r.</p>","7,5",ForskarnivÃ¥,ESTABLISHED,
DD1344,GrundlÃ¤ggande datalogi,https://www.kth.se/student/kurser/kurs/DD1344,<p>En grundl&#228;ggande kurs i datalogi med tyngdpunkt p&#229; datalogins vetenskapliga grund.</p>,"6,0",GrundnivÃ¥,CANCELLED,20201
DD1335,GrundlÃ¤ggande internetprogrammering,https://www.kth.se/student/kurser/kurs/DD1335,"<p>Kursen ska ge kunskap om och f&#228;rdigheter i grundl&#228;ggande tekniker f&#246;r utformning av webbaserade till&#228;mpningar, s&#229; att studenterna ska kunna utforma och konstruera levande webbsidor och klient-servertill&#228;mpningar.</p>","7,5",GrundnivÃ¥,CANCELLED,20201
DD3499,HjÃ¤rnliknande berÃ¤kning,https://www.kth.se/student/kurser/kurs/DD3499,,"7,5",ForskarnivÃ¥,ESTABLISHED,
DD3375,HÃ¶gprestandamodellering med finita element,https://www.kth.se/student/kurser/kurs/DD3375,,"7,5",ForskarnivÃ¥,ESTABLISHED,
DD3451,Individuell kurs i berÃ¤kningsbiologi,https://www.kth.se/student/kurser/kurs/DD3451,,"7,5",ForskarnivÃ¥,ESTABLISHED,
2D5348,Individuell kurs i datalogi,https://www.kth.se/student/kurser/kurs/2D5348,,"4,5",ForskarnivÃ¥,ESTABLISHED,
DD2475,InformationssÃ¶kning,https://www.kth.se/student/kurser/kurs/DD2475,"<p>En kurs i datalogi som behandlar grundl&#228;ggande teori, modeller och metoder f&#246;r datorbaserad informationss&#246;kning.</p>","9,0",Avancerad nivÃ¥,CANCELLED,20201
DD3344,Integritetsskyddande teknologier,https://www.kth.se/student/kurser/kurs/DD3344,<p>Privacy has become an increasingly important topic as our data and data about us is both increasing and more and more being collected and mined. This course will give an overview of privacy concepts and terminology as well as concrete examples of privacy-enhancing technologies (PET) and some of their applications.</p>,"7,5",ForskarnivÃ¥,ESTABLISHED,
DD3461,Interaktiv teorembevisning,https://www.kth.se/student/kurser/kurs/DD3461,,"4,5",ForskarnivÃ¥,ESTABLISHED,
DD3336,Interaktiv underhÃ¥llningsteknik,https://www.kth.se/student/kurser/kurs/DD3336,"<p>Datorspelsbranschen &#228;r redan en industri v&#228;rd flera miljarder dollar, ber&#228;knad att n&#229; 82 miljarder dollar p&#229; den globala marknaden &#229;r 2017. K&#228;rnan i dessa produkter &#228;r sofistikerade realtidsalgoritmer och infrastrukturer (t.ex. spelmotorer) som grundar sig i omr&#229;den s&#229;som datorgrafik, artificiell intelligens, HCl, datavetenskap och matematik. Underh&#229;llningsteknik kommer att forts&#228;tta att vara avg&#246;rande f&#246;r att trycka tillbaka tekniska hinder f&#246;r att m&#246;jligg&#246;ra nya former av interaktiva upplevelser och kommunikation, och de utg&#246;r en viktig l&#228;nk mellan akademin och industriforskningsinstitut.</p>","6,0",ForskarnivÃ¥,ESTABLISHED,
DD2390,Internetprogrammering,https://www.kth.se/student/kurser/kurs/DD2390,<p>En forts&#228;ttningskurs i datalogi som ger en bred &#246;versikt &#246;ver internetprogrammering.</p>,"6,0",Avancerad nivÃ¥,CANCELLED,20201
DD2392,Internets protokoll och principer,https://www.kth.se/student/kurser/kurs/DD2392,<p>En forts&#228;ttningskurs i datalogi som ger en god inblick i och &#246;verblick &#246;ver internetteknik och tj&#228;nster p&#229; Internet.</p>,"7,5",Avancerad nivÃ¥,CANCELLED,20201
DD2393,Internets protokoll och principer,https://www.kth.se/student/kurser/kurs/DD2393,<p>En forts&#228;ttningskurs i datalogi som ger en god inblick i och &#246;verblick &#246;ver internetteknik och tj&#228;nster p&#229; Internet.</p>,"6,0",Avancerad nivÃ¥,CANCELLED,20201
DD1339,Introduktion till datalogi,https://www.kth.se/student/kurser/kurs/DD1339,<p>En grundl&#228;ggande kurs i datalogi som inleds med en introduktion till datoranv&#228;ndning.</p>,"19,0",GrundnivÃ¥,CANCELLED,20201
